danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.506,0.959,5,-5.264,0,0.102,0.084,0.000655,0.135,0.34,133.996,audio_features,0boS4e6uXwp3zAvz1mLxZS,spotify:track:0boS4e6uXwp3zAvz1mLxZS,https://api.spotify.com/v1/tracks/0boS4e6uXwp3zAvz1mLxZS,https://api.spotify.com/v1/audio-analysis/0boS4e6uXwp3zAvz1mLxZS,213267,4
0.434,0.722,0,-6.388,1,0.0351,0.462,0.773,0.05,0.453,95.637,audio_features,7iXYRR70wewzVYzWScm99j,spotify:track:7iXYRR70wewzVYzWScm99j,https://api.spotify.com/v1/tracks/7iXYRR70wewzVYzWScm99j,https://api.spotify.com/v1/audio-analysis/7iXYRR70wewzVYzWScm99j,167533,4
0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,audio_features,1gihuPhrLraKYrJMAEONyc,spotify:track:1gihuPhrLraKYrJMAEONyc,https://api.spotify.com/v1/tracks/1gihuPhrLraKYrJMAEONyc,https://api.spotify.com/v1/audio-analysis/1gihuPhrLraKYrJMAEONyc,206413,4
0.777,0.658,0,-5.191,1,0.054,0.0767,0.0,0.0901,0.633,110.048,audio_features,3RauEVgRgj1IuWdJ9fDs70,spotify:track:3RauEVgRgj1IuWdJ9fDs70,https://api.spotify.com/v1/tracks/3RauEVgRgj1IuWdJ9fDs70,https://api.spotify.com/v1/audio-analysis/3RauEVgRgj1IuWdJ9fDs70,190360,4
0.544,0.728,6,-5.358,0,0.05,0.00264,0.00959,0.427,0.281,174.983,audio_features,6yraFyhgbavO2amB2lhpfi,spotify:track:6yraFyhgbavO2amB2lhpfi,https://api.spotify.com/v1/tracks/6yraFyhgbavO2amB2lhpfi,https://api.spotify.com/v1/audio-analysis/6yraFyhgbavO2amB2lhpfi,292587,4
0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,audio_features,2J2Z1SkXYghSajLibnQHOa,spotify:track:2J2Z1SkXYghSajLibnQHOa,https://api.spotify.com/v1/tracks/2J2Z1SkXYghSajLibnQHOa,https://api.spotify.com/v1/audio-analysis/2J2Z1SkXYghSajLibnQHOa,217747,4
0.617,0.717,10,-7.858,0,0.153,0.00564,0.0,0.408,0.49,103.992,audio_features,0j2T0R9dR9qdJYsB7ciXhf,spotify:track:0j2T0R9dR9qdJYsB7ciXhf,https://api.spotify.com/v1/tracks/0j2T0R9dR9qdJYsB7ciXhf,https://api.spotify.com/v1/audio-analysis/0j2T0R9dR9qdJYsB7ciXhf,311867,4
0.535,0.786,7,-4.152,0,0.043,0.0117,0.0,0.177,0.568,147.885,audio_features,4R6TWBDqFeJBQnBtha4zDh,spotify:track:4R6TWBDqFeJBQnBtha4zDh,https://api.spotify.com/v1/tracks/4R6TWBDqFeJBQnBtha4zDh,https://api.spotify.com/v1/audio-analysis/4R6TWBDqFeJBQnBtha4zDh,183267,4
0.721,0.769,7,-4.111,1,0.105,0.0922,0.0,0.0817,0.915,155.932,audio_features,13Irp51zj01BZu2XtDrnAg,spotify:track:13Irp51zj01BZu2XtDrnAg,https://api.spotify.com/v1/tracks/13Irp51zj01BZu2XtDrnAg,https://api.spotify.com/v1/audio-analysis/13Irp51zj01BZu2XtDrnAg,187108,4
0.724,0.733,11,-5.539,0,0.0382,0.0249,0.000318,0.127,0.672,125.993,audio_features,4Vbz3osCh6DwHYv5gVv5H2,spotify:track:4Vbz3osCh6DwHYv5gVv5H2,https://api.spotify.com/v1/tracks/4Vbz3osCh6DwHYv5gVv5H2,https://api.spotify.com/v1/audio-analysis/4Vbz3osCh6DwHYv5gVv5H2,208107,4
0.578,0.946,11,-3.85,0,0.0482,0.00225,0.00412,0.0966,0.588,126.092,audio_features,57yeWyaoeTt26p0dlEZukQ,spotify:track:57yeWyaoeTt26p0dlEZukQ,https://api.spotify.com/v1/tracks/57yeWyaoeTt26p0dlEZukQ,https://api.spotify.com/v1/audio-analysis/57yeWyaoeTt26p0dlEZukQ,218190,4
0.642,0.842,6,-4.13,1,0.114,0.206,1.11e-06,0.342,0.278,139.89,audio_features,2Vewxhl9sD0IhO9Az4qLS5,spotify:track:2Vewxhl9sD0IhO9Az4qLS5,https://api.spotify.com/v1/tracks/2Vewxhl9sD0IhO9Az4qLS5,https://api.spotify.com/v1/audio-analysis/2Vewxhl9sD0IhO9Az4qLS5,159310,4
